,nb1,p23,b23,nb23,ss4_L4,ss4_L23,p4,b4,nb4,p5_L23,p5_L56,b5,nb5,p6_L4,p6_L56,b6,nb6,corticcortical,TCs,TCn,TIs,TIn,TRN
b4,0.0,0.006826298870458798,0.00451257263742671,0.013475754723532777,0.07293135232213671,0.0301396668220709,0.026694417592834054,0.10551668207675793,0.07028290309047629,0.008801793058771726,0.0,0.0,0.0,0.07462936079882138,0.0,0.0,0.038210301569807495,0.026983521278754648,0.06757025875226154,0.025770154609107837,0.0,0.0,0.0
nb4,0.0,0.0010078756632694052,0.0005724928753639391,0.0032055329863511918,0.02460329830940418,0.009056142352924677,0.008063378387338607,0.03266943187925371,0.021362504915385855,0.0020302725584482673,0.0011574075284840567,0.0,0.0,0.025154104127169185,0.0,0.0,0.012792265086188276,0.009145931380866864,0.022770386904088134,0.00885451992732389,0.0,0.0,0.0
p5_L23_5,0.0,0.06416473159687877,0.019295369414869278,0.0060022040646818845,0.02598734502558035,0.018841316170268935,0.05661855930545568,0.0,0.031304541768678605,0.11119639852329048,0.04334378215129881,0.47316184657549887,0.3079023358902146,0.006728547469033912,0.035158356404248366,0.0,0.09665202044188739,0.009903793807654531,0.0050160515441135325,0.010202865478079066,0.0,0.0,0.0
p5_L23_4,0.0,0.00025665322586154943,7.028871311409749e-05,0.0009183168251571526,0.0062995975113965446,0.0023473066971162197,0.002078987321299494,0.005087173795408683,0.0034210632223262458,0.000498539812616798,0.0002842050590550872,0.0,0.0,0.0064644024324982206,0.0,0.0,0.0032513978025510613,0.0023450248055273022,0.005920242485105268,0.0023415056200271813,0.0,0.0,0.0
p5_L23_23,0.0,0.008420324638273441,0.005218750671213485,0.007830493594424342,0.00045103994230933964,0.0064748471139348665,0.005837116345819174,0.0,0.0019921951202804427,0.007076446739511227,0.0,0.0,0.0,0.0006981508535585416,0.0,0.0,0.0006418283019229981,0.0,0.0,0.0,0.0,0.0,0.0
p5_L23,0.010122351758831258,0.00037749789846243804,4.594845203571745e-05,0.0009433491868726937,0.0,0.0,3.235845990580569e-05,0.0,0.0,4.07375730274327e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004598900236988173,0.0,0.004482665352828413,0.0,0.0,0.0
p5_L56_5,0.0,0.019822728150199604,0.005833181857810475,0.0012808418228724189,0.008066292258457187,0.006030970995515929,0.01763991196808103,0.0,0.00890698725803378,0.03437631383547301,0.016648842827844523,0.15145573414794303,0.09855734283232837,0.0021537600802925445,0.01339754673590724,0.0031168490068013734,0.03039957714497645,0.004050726520301528,0.0032112046845536066,0.004082330635328919,0.0,0.0,0.0
p5_L56_4,0.0,0.0002330926713378928,6.383626720322591e-05,0.0008340160977594077,0.005721299653864781,0.002131825877673941,0.0018881379993280225,0.004620175435361965,0.0031070124391813086,0.0004527742688643578,0.00025811526896073406,0.0,0.0,0.005870975619090882,0.0,0.0,0.002952922165052448,0.0021297534618514675,0.005376769106209048,0.0021265573346786913,0.0,0.0,0.0
p5_L56_23,0.0,0.0075666256647834405,0.0046896449321467875,0.007036594946729116,0.0004053110242101171,0.005818391386616936,0.005245317282643232,0.0,0.0017902153864534662,0.00635899752264634,0.0,0.0,0.0,0.0006273684677684488,0.0,0.0,0.0005767562071942558,0.0,0.0,0.0,0.0,0.0,0.0
p5_L56_1,0.08384453392669758,0.0031268559035479925,0.00038059599561206773,0.0078138632985624,0.0,0.0,0.00026802862161167025,0.0,0.0,0.0003374337214481739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038093187841377045,0.0,0.037130401729948324,0.0,0.0,0.0
b5,0.0,0.005491432454622696,0.0021286241330573615,0.0003454697697871621,0.0022436363392393135,0.0016266787390978828,0.004888204509081423,0.0,0.0033033004747732605,0.009518168785536563,0.003742116965738582,0.045957118794073146,0.031416239844219936,0.0005809140409288141,0.0028908783607248883,0.0,0.008271961436426735,0.0008550512436462627,0.00043306445936638216,0.0008808718138946276,0.0,0.0,0.0
nb5,0.0,0.007321909939496929,0.002838165510743149,0.0004606263597162162,0.002991515118985752,0.002168904985463844,0.006517606012108565,0.0,0.004404400633031014,0.012690891714048753,0.004989489287651443,0.06127615839209753,0.04188831979229325,0.0007745520545717522,0.003854504480966518,0.0,0.011029281915235646,0.0011400683248616837,0.0005774192791551762,0.0011744957518595035,0.0,0.0,0.0
p6_L4_6,0.0,0.007481535462985192,0.0022948147166703316,0.004283083445754424,0.011800843377334145,0.018150591598665413,0.021009123642681034,0.0,0.007446151623718103,0.002034566518848456,0.4546633198368708,0.0,0.17976642719211627,0.007515221139558227,0.47309704408414943,0.5350276977780596,0.1385386194971331,0.1640179284683735,0.06442883444184938,0.15835333016430925,0.0,0.0,0.0
